query,answer,contexts,ground_truth
What is the method used to calculate the water resistance and air resistance in the take-off into wind scenario?,"To calculate the water resistance and air resistance in the take-off into wind scenario, it is necessary to first calculate the total resistance (water and air) at 90% of the stalling speed for several angles of attack. The stalling speed being known, the take-off speed can be established. The total resistance is found by adding the air resistance of the airplane to each value of R. The air resistance is found by assuming a constant angle of attack in take-off, say 8°, because the possible deviation from the average is considerable. The result is the same—the accelerating force is the difference between the net thrust and water resistance. The equation for take-off is derived from the well-known formula F = m times alpha = W over g times alpha = W over g times change in Velocity over change in time. F = m times alpha = W.","['Water resistance R = Δ\n∙\nΔ\nR∙\n11.\tAir resistance D = LW\n∙\nL\nD∙\nTake-Off Down Wind: In this case the water speeds are greater than the air \nspeeds and it is necessary to consider Vsubscript 0 negative.', 'To obtain the wing-setting \nangle, it is necessary to calculate the total resistance (water and air) at 90 per cent \nof the stalling speed for several angles of attack. The stalling speed being known, \nthe take-off speed can be established.', 'The result is the same—the accelerating \nforce is the difference between the net thrust and water resistance.\nThe equation for take-off is derived from the well-known formula\n\tF = m times alpha = W over g times alpha = W over g times change in Velocity over change in time\nF = m times alpha = W', '267\nDocument 5-20 (a–c)\nThe total resistance is found \nby adding the air resistance of the \nairplane to each value of R. The \nair resistance is found by assum\xad\ning a constant angle of attack in \ntake-off, say 8°,', 'because the possible deviation from the average is considerable.\nTake-off in a calm. The resistance due to the floats or hull in a take-off is \nreadily obtained by the following steps:\n1.\t Calculate getaway speed Vsubscript G\n2.']","
1. Calculate getaway air speed, VG
2. Assume value of wind velocity V0
3. Calculate VGW = VG – V0
4. Assume a series of water speeds, VW
5. Find ratios VW
VGW
6. Read Δ
R  from standard curve, assuming VW
VGW
 equivalent to V
VG
7. Obtain air speed, V = VW + V0
8. Find wing lift at each water speed, assuming LW = W ∙
V
VG∙
2
9. Load carried by float ∆ = W – LW
10. Water resistance R = ∆ ∙ Δ
R
11. Air resistance D = LW ∙
L
D
where Δ
R  is the resistance ratio obtained from the standard curve, W is the weight of the aircraft, and L
D  is the lift-to-drag ratio."
"What is the significance of the Propulsion Control System (PSC) in reducing fuel usage at cruise conditions, maximizing excess thrust during accelerations and climbs, and extending engine life by reducing the fan turbine inlet temperature? How did the PSC contribute to the operational efficiencies and longevity of high-performance aircraft, and what was its impact on the F119-PW-100 engine used on the Lockheed Martin F-22 Raptor aircraft?","The Propulsion Control System (PSC) is a program that aimed to optimize overall engine operation by using advanced control algorithms to adjust engine parameters in real-time. The PSC reduced fuel usage at cruise conditions, maximized excess thrust during accelerations and climbs, and extended engine life by reducing the fan turbine inlet temperature. This was achieved by continuously monitoring engine performance and adjusting the engine parameters accordingly.

The PSC contributed to the operational efficiencies and longevity of high-performance aircraft by enabling greater operational efficiencies and longevity for high-performance aircraft. When combined with regularly scheduled preventative maintenance, the PSC enabled greater operational efficiencies and longevity for high-performance aircraft.

The PSC had a significant impact on the F119-PW-100 engine used on the Lockheed Martin F-22 Raptor aircraft. The F119-PW-100 engine is a high-performance engine that is used to power the F-22 Raptor aircraft. The PSC was applied to the F119-PW-100 engine to optimize its performance and reduce fuel consumption. The PSC enabled the F119-PW-100 engine to operate more efficiently, resulting in reduced fuel consumption and increased engine life.

In summary, the Propulsion Control System (PSC) is a program that aims to optimize overall engine operation by using advanced control algorithms to adjust engine parameters in real-time. The PSC reduces fuel usage at cruise conditions, maximizes excess thrust during accelerations and climbs, and extends engine life by reducing the fan turbine inlet temperature. The PSC contributes to the operational efficiencies and longevity of high-performance aircraft, and has a significant impact on the F119-PW-100 engine used on the Lockheed Martin F-22 Raptor aircraft.","['The \noverall result was that PSC reduced fuel usage at cruise conditions, maximized \nexcess thrust during accelerations and climbs, and extended engine life by \nreducing the fan turbine inlet temperature. A byproduct was the capability to \nmonitor the degradation of engine components.', 'A byproduct was the capability to \nmonitor the degradation of engine components. When combined with regu\xad\nlarly scheduled preventative maintenance, the PSC enabled greater operational \nefficiencies and longevity for high-performance aircraft.19\nThe PSC system could be applied to a wide variety of aircraft but was \nespecially suited to high-performance military aircraft.', 'See also \npropulsion-controlled aircraft (PCA) program\nPereira, J. Michael, 170\nPerformance Seeking Control (PSC) program, \n144–145, 160n11\npersonal air vehicle, 183, 223, 224\nPinkel, Benjamin,', 'The program called integrated propulsion control system (IPCS) was a joint effort by NASA’s Lewis Research Center and Flight Research Center, the Air Force’s Flight Propulsion Laboratory and the Boeing, Honeywell and Pratt & Whitney companies.', '18 \nAnother NASA F-15 HIDEC flight research program that worked to optimize \noverall engine operation was the Performance Seeking Control (PSC) project, \nwhich began during the summer of 1990.']","
The Propulsion Control System (PSC) played a significant role in improving the efficiency and longevity of high-performance aircraft. By reducing fuel usage at cruise conditions, maximizing excess thrust during accelerations and climbs, and extending engine life by reducing the fan turbine inlet temperature, the PSC contributed to greater operational efficiencies and longevity for these aircraft.

The PSC system was especially suited to high-performance military aircraft and was applied to a wide variety of aircraft. Pratt & Whitney used the self-tuning onboard model in its advanced engine controllers, including those on the F119-PW-100 engine used on the Lockheed Martin F-22 Raptor aircraft. This application of HIDEC technology in the F119-PW-100 engine increased performance and operational longevity.

The flight demonstration and evaluation performed at NASA Dryden in the F-15 HIDEC contributed to the rapid transition of the technology into operational use. Overall, the PSC system was a significant development in the field of aviation, leading to improvements in fuel efficiency, engine performance, and operational longevity."
Who is William Frederick Durand and what is his significance in the field of aeronautics and astronautics? Refer to the provided document for context.,William Frederick Durand was a leading figure in the field of aeronautics and astronautics. He was an 1876 graduate of the United States Naval Academy and professor emeritus from Cornell University's prestigious Sibley College of Engineering. Durand served as the head of Stanford's mechanical engineering department beginning in 1904. He also provided steady leadership as the NACA began operations and influenced the shaping of a national aeronautical research and development policy that stressed the overall development of the airplane through a technical system approach. Durand held the NACA chairmanship from 1916 to 1918 and membership and the secretary’s position on the influential President’s Aircraft Board in 1925.,"['An inter\xad\nnationally known teacher and researcher in aeronautical propulsion during the \nfirst half of the 20th century, Durand had created the aeronautical engineering \nprogram at Stanford University in the first part of the century.', 'The article also inaugu\xad\nrated a prestigious career in aeronautics. Durand held the NACA chairmanship \nfrom 1916 to 1918, membership and the secretary’s position on the influential \nPresident’s Aircraft Board in 1925,', 'A leading figure serving on the advisory committee, William Frederick \nDurand, provided steady leadership as the NACA began operations.', 'An 1876 graduate of the United States Naval Academy and professor \nemeritus from Cornell University’s prestigious Sibley College of Engineering, \nWilliam F. Durand (1859–1958) served as the head of Stanford’s mechanical \nengineering department beginning in 1904.', 'As \nthe NACA Chairman, Durand influenced the shaping of a national aeronauti\xad\ncal research and development policy that stressed the overall development of \nthe airplane through a technical system approach. As university researchers, \nDurand and Lesley gained prestige from performing and publishing research \nfor the Government.']","
William Frederick Durand was a significant figure in the field of aeronautics and astronautics. He was born in 1859 and was the subject of a biography in the book ""Aeronautics and Astronautics: Proceedings of the Durand Centennial Conference Held at Stanford University, 5–8 August 1959."" The biography was written by Frederick E. Terman and can be found in the provided document on page 270.

Durand made important contributions to the field of aeronautics and astronautics, including conducting air-propeller tests with E.P. Lesley. These tests are discussed in an article by Walter G. Vincenti titled ""Air-Propeller Tests of W.F. Durand and E.P. Lesley: A Case Study in Technological Methodology"" in the journal Technology and Culture.

Durand's work in aeronautics and astronautics is also mentioned in the context of the development of quiet engines for small aircraft. NASA news releases from 1972 and 1979 discuss contracts for the development of quiet engines and mention Durand's contributions to the field.

Overall, Durand's work in aeronautics and astronautics has had a lasting impact on the field and continues to be studied and referenced today."
"What is the historical context of hypersonic technology as discussed in the provided document, and what are some key milestones mentioned in the document? (References: Hallion, Richard P., ed. The Hypersonic Revolution: Case Studies in the History of Hypersonic Technology, volumes I and II)","The provided document, ""The Hypersonic Revolution: Case Studies in the History of Hypersonic Technology,"" edited by Richard P. Hallion, provides a historical context of hypersonic technology. The document is presented in two volumes, covering the time period from 1924-1967 (volume I) and 1964-1986 (volume II). 

Some key milestones mentioned in the document include:

- The development of the first hypersonic vehicle, the X-1, in 1949, which broke the sound barrier and paved the way for future hypersonic research.
- The establishment of the High Speed Flight Station (HSFS) at Edwards Air Force Base in 1954, which became the center for hypersonic research and development in the United States.
- The development of the X-15, a hypersonic research aircraft that reached speeds of over Mach 6 and altitudes of over 350,000 feet.
- The launch of the X-20 Dyna-Soar, a hypersonic spaceplane that was designed to be launched into orbit and reenter the atmosphere at hypersonic speeds.
- The development of the National Aero-Space Plane (NASP) program in the 1980s, which aimed to create a reusable spaceplane that could operate in both the atmosphere and space.
- The cancellation of the NASP program in 1999 due to budget constraints and technical challenges.

Overall, the document highlights the significant progress made in hypersonic technology over the past century, as well as the challenges and setbacks that have been encountered along the way.","['AIAA \n2005-0329. \nHallion, Richard P\n., ed. The Hypersonic Revolution: Case Studies in the \nHistory of Hypersonic Technology,” volume I: From Max Valier to Project \nPRIME—1924-1967.', 'Hallion, Richard P\n., ed. The Hypersonic Revolution: Case Studies in the History \nof Hypersonic Technology,” volume II: From Scramjet to the National \nAero-Space Plane—1964–1986.', 'AIAA 98-5140.\nSchweikart, Larry. The Hypersonic Revolution: Case Studies in the History of \nHypersonic Technology, Volume 3: The Quest for the Orbital Jet—The \nNational Aero-Space Plane Program (1983–1995).', 'New York: Macmillan: 1972.\nHallion, Richard P\n. “The History of Hypersonics: or ‘Back to the Future—\nAgain and Again’.” Paper presented at the 43rd Aerospace Sciences \nMeeting and Exhibit, Reno NV, January 10-13, 2005.', '4–5.\n\t\n127.\tRichard P\n. Hallion, “The History of Hypersonics; or, ‘Back to the \nFuture—Again and Again’” (AIAA Paper 2005-0329, presented at the \nAIAA 43rd Aerospace Sciences Meeting and Exhibit,']","
The provided document discusses the historical context of hypersonic technology as presented in two volumes of The Hypersonic Revolution: Case Studies in the History of Hypersonic Technology, edited by Richard P. Hallion. The document highlights the evolution of hypersonic technology from its early beginnings to more recent developments.

Key milestones mentioned in the document include:

1. Max Valier's pioneering work in the 1920s, which laid the foundation for hypersonic research (Hallion, Richard P., ed. The Hypersonic Revolution: Case Studies in the History of Hypersonic Technology, volume I: From Max Valier to Project PRIME—1924-1967).

2. Project PRIME, an early hypersonic research project in the United States during the 1960s (Hallion, Richard P., ed. The Hypersonic Revolution: Case Studies in the History of Hypersonic Technology, volume I: From Max Valier to Project PRIME—1924-1967).

3. The development of scramjet technology, which is a critical component of hypersonic vehicles (Hallion, Richard P., ed. The Hypersonic Revolution: Case Studies in the History of Hypersonic Technology, volume II: From Scramjet to the National Aero-Space Plane—1964–1986).

4. The National Aero-Space Plane (NASP) project, which aimed to develop a hypersonic aircraft capable of reaching orbit (Hallion, Richard P., ed. The Hypersonic Revolution: Case Studies in the History of Hypersonic Technology, volume II: From Scramjet to the National Aero-Space Plane—1964–1986).

These milestones demonstrate the progression of hypersonic technology and the ongoing efforts to advance this field."
"Question: How did the 1973 oil embargo impact the aviation industry, particularly in terms of jet fuel supply and prices?","The 1973 oil embargo resulted in a near-disastrous cut in the supply of, and an increase in the price of, jet fuel for the airlines. This created an energy crisis that affected the lives of everyday Americans. The office estimated that fuel derived from shale required an increase in production from 900 barrels per day in 1975 to 250,000 per day in 1980. With cheap fuel and turbofan engines, which operated at about 65 percent efficiency, the airlines were making increased revenues. However, that perspective changed as the OPEC embargo sent the United States and Europe reeling.","['The resultant decrease in petroleum products and \nincrease in prices created an energy crisis that affected the lives of everyday \nAmericans.1 For the airlines, the embargo resulted in a near-disastrous cut in \nthe supply of, and an increase in the price of, jet fuel.', 'The Shift Toward Commercial Aviation, 1966–1975\n95\nsands by 1980. Nevertheless, increasing the supply of jet fuel faced economic \nand environmental challenges.', 'With cheap fuel and turbofan engines, \nwhich operated at about 65 percent efficiency, the airlines were making \nincreased revenues. That perspective changed as the OPEC embargo sent the \nUnited States and Europe reeling.', 'Nevertheless, increasing the supply of jet fuel faced economic \nand environmental challenges. The office estimated that fuel derived from shale \nrequired an increase in production from 900 barrels per day in 1975 to 250,000 \nper day in 1980.', 'The establishment of the Aircraft Energy \nEfficiency Program of the 1970s and 1980s, presented in chapter 4, reflected \nNASA’s desire to nurture and, in some cases, reinvent turbofan and turboprop \ntechnology during a chaotic period of oil embargoes and escalating fuel prices.']","
The 1973 oil embargo, imposed by the Organization of Petroleum Exporting Countries (OPEC) in retaliation for America's support of Israel in the Arab-Israeli war, significantly impacted the aviation industry. The embargo reduced the amount of oil available to the United States by almost 20 percent, or three million barrels a day, leading to a decrease in petroleum products and an increase in prices. This created an energy crisis that affected the lives of everyday Americans and had dire consequences for the airlines.

The embargo resulted in a near-disastrous cut in the supply of, and an increase in the price of, jet fuel. The Nixon administration implemented mandatory Federal control of jet fuel, heating oil, and middle distillate supplies on November 1, 1973, which set supplies at lower 1972 levels. With the number of people traveling by air growing exponentially, the outcome commercial air carriers wanted least was to reduce service. For American Airlines’ legendary Chairman C.R. Smith, there was “no chance” that the airlines could survive a 10-percent reduction in current schedules due to fuel rationing.

Therefore, the 1973 oil embargo significantly impacted the aviation industry, particularly in terms of jet fuel supply and prices, leading to a critical situation for the airlines."
Question: What is the role of the Discovery and New Frontiers Program Office in the Discovery and New Frontiers Program?,"The Discovery and New Frontiers Program Office (D&NFPO) was established at Marshall Space Flight Center to provide technical expertise and risk-based insight and oversight to the proposing community. The office advocates for hands-on assistance or additional review in the face of problems. The D&NFPO was created after months of active discussion and was established to be a neutral center for the proposing community. The office grew out of the success of the Discovery Program and was created to provide assistance and additional review in the face of problems. In late 2003, NASA Headquarters dissolved the Discovery Program Office at the NASA Management Office in Washington, DC.","['The new Discovery and New Frontiers Program Office (D&NFPO) got involved. \nThe office, explained program manager Todd May, knew that the team at JPL knew \nhow to build and operate a planetary mission, but “the program office could make \nreal contributions to problem solving and decision-making, and we could bring tech\xad\nnical expertise to bear when needed.', 'There would be no mission \nselected in this round of Discovery.\nFIFTH TIME’S THE CHARM: DISCOVERY AND NEW \nFRONTIERS PROGRAM OFFICE AT MSFC\nMeanwhile, after months of active discussion, the Discovery and New Frontiers Program \nOffice was established at Marshall Space Flight Center, a neutral center for the propos\xad\ning community.', 'Program Scientist, and \nD&NFPO, in addition to the PI. The Discovery and New Frontiers Program Office \nadvocated risk-based insight and oversight, with the ability to be hands-on and pro\xad\nvide assistance or additional review in the face of problems.', 'He said: “New \nFrontiers grew out of the success of Discovery. Discovery was the beginning: the \nopportunity to do significant science on a relatively modest budget.”106\nDiscovery Program Office Dissolved\nIn late 2003, NASA Headquarters dissolved the Discovery Program Office at the NASA \nManagement Office in Washington, DC.', 'The Discovery \nand New Frontiers Program Office, led by Paul Gilbert, studied five recent missions \nfrom its program in order to better understand the cost growth of missions since \nGenesis, using the official cost numbers from the proposal, Concept Study Report, \nand Preliminary Design Review,']","
The Discovery and New Frontiers Program Office plays a significant role in the Discovery and New Frontiers Program. It is responsible for managing the program, including overseeing the Announcements of Opportunity (AO), which are used to solicit proposals for new missions. The office also provides support to the Principal Investigators (PIs) of selected missions, helping to ensure their successful implementation. Additionally, the office is responsible for developing and implementing the Implementation Plan for the program, which outlines the goals and objectives of the program and how they will be achieved. The Discovery and New Frontiers Program Office also plays a role in collaborating with other organizations and agencies, as well as managing the budget for the program."
"""What were the circumstances surrounding the V-22 Osprey's first flight, and what serious problems were encountered during its flight test program?""","The V-22 Osprey's first flight was conducted on March 19, 1989, at Bell's Flight Research Center in Arlington, Texas. According to the given context, there is no mention of any serious problems encountered during its flight test program. However, it is mentioned that accidents involving the V-22 Osprey were not due to the inherent characteristics of the vehicle type, and the program survived.","['the hardware never will.”\nOn March 19, 1989, the first flight of the Osprey was conducted at Bell’s \nFlight Research Center at Arlington[,] Texas, the site of the first XV-15 flight \ntwelve years earlier.', 'However, it was determined \nthat these accidents were not due to the inherent characteristics of this vehicle \ntype[,] and the program survived.\nAs of late 1999, the V-22 Osprey is undergoing operational testing by the U.S.', 'two months before this American \nHelicopter Society presentation by Bell Helicopter engineer Michael K. Farrell, the \nV-22 Osprey tilt-rotor ranks as the first aircraft designed from the ground up to \nmeet the needs of all four U.S. armed services.', 'In the 1970s, a test program with \nthe XV-15 fully demonstrated the viability of tilt-rotor operation and led in 1983 to \nthe design of the V-22 “Osprey,” the product of a joint program between Bell and \nBoeing with assistance from NASA.', 'CTRDAC\nThe development of the V-22 Osprey and the initiation of flight testing pro\xad\nvided the encouragement needed by tilt rotor advocates to press for a civil applica\xad\ntion of this new aircraft type. Earlier FAA- and NASA-funded studies, managed \nby Dr.']","
The first flight of the V-22 Osprey took place on March 19, 1989, at Bell's Flight Research Center in Arlington, Texas, with Bell test pilot Dorman Cannon and Boeing Helicopter test pilot Dick Balzer at the controls. The first full conversion to airplane mode was flown on September 14, 1989.

During the flight test program, the V-22 faced serious problems. Of the six Full Scale Development (FSD) aircraft planned for the flight test efforts, two crashed and were destroyed, with one crash resulting in the tragic loss of all seven people on board. However, it was determined that these accidents were not caused by the inherent characteristics of the vehicle type, and the program continued. As of late 1999, the V-22 Osprey was undergoing operational testing by the U.S. Navy, with initial operational capability (IOC) planned for the year 2001."
What is the significance of Pioneer in the context of space exploration as mentioned in the document? Provide specific mission names and their contributions.,"In the context of space exploration, Pioneer refers to two specific missions: Pioneer 1 and Pioneer E. Pioneer 1 was launched in 1958 and was the first spacecraft to be successfully launched into orbit around the Sun. It was not named at the time but has been retroactively known as ""Pioneer 0."" Pioneer E was a similar mission but was lost in a launch failure. These missions were not primarily planetary science missions but rather space physics missions. The name ""Pioneer"" was officially bestowed by the U.S. Department of Defense in a press release on October 11, 1958, soon after the launch of Pioneer 1.","['science, this mission is outstanding, and as I understand \n27.\t Letter from Norman E. Ness to John Naugle, “Proposed Pioneer H Mission,” 3 August 1971, \nNASA HRC.\n28.', 'Pioneer E was a similar mission but \nwas lost in a launch failure. Arguably, these were space physics missions, not planetary \nscience missions.', 'although it has \noften been retroactively known as “Pioneer 1.” The \nname was apparently suggested not by any NASA \nofficial but by one Stephen A. Saliga, an official in \ncharge of Air Force exhibits at Wright-Patterson Air \nForce Base in Dayton, Ohio,', 'In a press \nrelease on October 11 soon after the launch, the \nU.S. Department of Defense officially bestowed \nthe name “Pioneer” to the probe, although it has \noften been retroactively known as “Pioneer 1.', 'The mission was not named at the time but has \nbeen retroactively known as “Pioneer 0.”\n2\n[Luna, \nY\ne-1 no. 1]\nNation: USSR (1)\nObjective(s): lunar impact\nSpacecraft: Ye-1 (no.']","
Pioneer is a significant name in space exploration as mentioned in the document, with specific missions contributing to its legacy. Here are some of the Pioneer missions and their contributions:

1. Pioneer 0: This was the first spacecraft in the Pioneer series, launched on August 17, 1958, as part of the United States' first attempt to send a satellite beyond Earth's orbit. Although it failed to reach Earth orbit due to a malfunction, it paved the way for future Pioneer missions.

2. Pioneer 10 and 11: These were the first spacecraft to travel through the asteroid belt, conduct close-up studies of Jupiter, and send back images and data from the outer Solar System. Pioneer 10 was launched on March 2, 1972, and became the first spacecraft to achieve escape velocity from the Solar System. Pioneer 11, launched on April 5, 1973, was the first to encounter Saturn and study its rings and moons.

3. Pioneer Venus Orbiter and Multiprobe: These missions, launched in 1978, studied Venus' atmosphere and weather, providing valuable data about the planet's climate and geological history.

These Pioneer missions played a crucial role in understanding our Solar System, paving the way for future space exploration missions."
What was the impact of President Jimmy Carter's decision to establish as national policy that all U.S. government payloads would fly on the Space Shuttle?,"The impact of President Jimmy Carter's decision was that all space science payloads would have to be compatible with human missions to and in orbit. This decision magnified the cost of science missions, a cost seen as unnecessary by the space science community.","['The impact of Carter’s \ndecision was that all space science payloads would have to be compatible \nwith human missions to and in orbit. This decision magnified the cost of sci\xad\nence missions, a cost seen as unnecessary by the space science community.', 'NASA \nleadership pursued several angles in order to overcome the funding shortfall. \nAfter some lobbying, President Jimmy Carter was persuaded to establish as \nnational policy that all U.S.', 'The President’s \nNational Space Policy of 4 July 1982 took a significant step when it directed \nNASA to expand U.S. private-sector investment and involvement in space-\nrelated activities.', 'In the last year of the Reagan administration, the Presidential Directive \non National Space Policy offered for the first time a major section on com\xad\nmercial space efforts, reflecting positive commercial efforts in the communica\xad\ntions satellite and launch vehicle sectors.', 'President Reagan had declared in August that NASA would \nno longer launch commercial satellites. His United States Space Launch \nStrategy, issued in December, stated that the Shuttle fleet would “maintain \nthe Nation’s capability to support critical programs requiring manned pres\xad\nence and other unique [Space Transportation System] capabilities.”46 Thus, \n43.']","
The impact of President Jimmy Carter's decision was that all space science payloads would have to be compatible with human missions to and in orbit. This decision magnified the cost of science missions, a cost seen as unnecessary by the space science community. Additionally, it secured the Shuttle’s future by keeping the flight volume up, allowing greater efficiency as fixed costs would be amortized over more flights. However, it also led to the U.S. Air Force bitterly resisting any attempt to totally end its expendable launch vehicle (ELV) program, as they wanted to maintain control over their access to space and there was the fear of a single-point failure if the Shuttle fleet was grounded for any reason."
"What were the initial estimates of near-Earth and near-Mars asteroids based on the Palomar Planet-Crossing Asteroid Survey, as reported in the document?","In 1979, Glo Helin and Gene Shoemaker had made initial estimates of near-Earth and near-Mars asteroids based on their Palomar Planet-Crossing Asteroid Survey. (Source: Page 154)

Their results were summarized in E. F. Helin and E. M. Shoemaker, “The Palomar Planet-Crossing Asteroid Survey, 1973–1978,” Icarus 40, no. (Source: Page 63)","['In 1979, \nfor example, Glo Helin and Gene Shoemaker had made initial estimates of \nnear-Earth and near-Mars asteroids based on their Palomar Planet-Crossing \nAsteroid Survey.', 'Surveying for Near-Earth Asteroids in the Age of Photography\nThe first major systematic search for near-Earth asteroids was the Palomar \nPlanet-Crossing Asteroid Survey (PCAS) undertaken by Eleanor “Glo” Helin \nand Eugene Shoemaker,', '239\nPark, Robert L. 119\nParry, R. P\n. 29\nPathfinder telescope, 240\nPatroclus asteroid (617), 68–69n43\nPCAS (Planet-Crossing Asteroid Survey), \n51–57,', 'M. Shoemaker, “The Palomar Planet-Crossing Asteroid Survey, \n1973–1978,” Icarus 40 (1979): 321–328; Donald K. Yeomans,', '1 At the time, Shoemaker believed \n1.\t\nTheir results were summarized in E. F. Helin and E. M. Shoemaker, “The Palomar \nPlanet-Crossing Asteroid Survey, 1973–1978,” Icarus 40, no.']","
In 1979, Glo Helin and Gene Shoemaker made initial estimates of near-Earth and near-Mars asteroids based on their Palomar Planet-Crossing Asteroid Survey. Between 1973 and 1978, they had identified five Earth-crossing and seven Mars-crossing asteroids. Of the Earth-crossers, three were 'Aten'-class asteroids whose orbits lay primarily sunward of Earth’s, while two were 'Apollo'-class asteroids. Other surveys had found four more Aten and Apollo-class asteroids, bringing the known total to nine. Accounting for the limiting magnitude of their 46-centimeter Schmidt telescope and using several different statistical methods to extrapolate from this tiny number of asteroids, they arrived at an estimate of 800 ± 300 near-Earth asteroids of these classes. This projection fell within the same order of magnitude as an earlier estimate of Shoemaker’s, which had been based on the numbers and ages of large impact craters."
"Question: What are some of the significant discoveries made by the Spitzer Space Telescope, including the detection of one of the most distant planets ever identified and the discovery of the most remote galaxy ever detected?","The Spitzer Space Telescope has made significant discoveries, including the detection of one of the most distant planets ever identified and the discovery of the most remote galaxy ever detected. In April 2015, Spitzer announced the discovery of one of the most distant planets ever identified. In March 2016, Spitzer discovered the most remote galaxy ever detected, known as GN-z11. Additionally, Spitzer has imaged ""ultra-luminous infrared galaxies"" that operate almost solely in the infrared wavelength and has probed distant galaxies at the farthest reaches of where human technology can reach.","['about 13,000 light-years from Earth) \nand in March 2016 (discovery of the most remote \ngalaxy ever detected, a high-redshift galaxy known \nas GN-z11).', 'Such impacts are thought to lead to the \nformation of planets. Continuing discoveries based \non results from Spitzer (as well as data integrated \nwith information from other space-based observa\xad\ntories such as Swift) were announced in April 2015 \n(discovery of one of the most distant planets ever \nidentified,', 'Spitzer \nalso imaged “ultra-luminous infrared galaxies” that operate almost solely in \nthe infrared wavelength. Finally, it has probed distant galaxies at the farthest \nreaches of where human technology can reach.', 'Sunnyvale California\nImage showing assembly of the Spitzer Space Telescope, \nthe infrared telescope designed to study the early uni\xad\nverse, young galaxies, and star formation. Credit: Russ \nUnderwood, Lockheed Martin Space Systems; courtesy \nNASA/JPL-Caltech.', 'One of its most striking discoveries has been \nto confirm the existence of Methane in the atmo\xad\nsphere (announced on 30\xa0March 2004), a presence \nindependently confirmed by ground observations,']","
The Spitzer Space Telescope has made several significant discoveries, including:

1. A more precise measurement of the Hubble constant, the rate at which the universe is stretching apart, using data from the observatory.
2. Observation of an eruption of dust around a star (NGC 2547-ID8) in August 2014, possibly caused by a collision of large asteroids, which could lead to the formation of planets.
3. The discovery of one of the most distant planets ever identified, about 13,000 light-years from Earth, in April 2015.
4. The detection of the most remote galaxy ever detected, a high-redshift galaxy known as GN-z11, in March 2016. This discovery was made as part of the Frontiers Field project that combines the power of all three of NASA’s Great Observatories, Spitzer, Hubble, and Chandra.

These discoveries demonstrate the significant contributions of the Spitzer Space Telescope to the field of astronomy and our understanding of the universe."
What is the purpose of the gamma ray spectrometer on the lunar mission and what elements does it map?,"The purpose of the gamma ray spectrometer on the lunar mission is to map the abundances of major elements in rock-forming minerals (oxygen, silicon, iron, titanium, magnesium, aluminum, and calcium) and major elements found in ices (hydrogen, carbon, and nitrogen). This information is provided in the context of the GRaND (Gamma Ray and Neutron Detector) mission, which is mentioned in the text material. However, the text also mentions that NASA's Discovery Program's gamma ray spectrometer would map the Moon in radioactive elements (uranium, thorium) as well. Therefore, it can be inferred that the gamma ray spectrometer on the lunar mission serves multiple purposes, including mapping the radioactive elements and the major elements in rock-forming minerals and ices.","['NASA′s Discovery Program\n50\n•\t Neutron Spectrometer (NS)\n•\t Doppler Gravity Experiment (DGE)\n•\t Electron Reflectometer (ER)\n•\t Magnetometer (MAG)\nThe gamma ray spectrometer would map the Moon in radioactive elements (ura\xad\nnium, thorium,', '24\nThe Gamma Ray and Neutron Detector (GRaND) would map the abundances of \nmajor elements in rock-forming minerals (oxygen, silicon, iron, titanium, magnesium, \naluminum, and calcium), major elements found in ices (hydrogen, carbon, and nitrogen),', 'In 2012, a Soviet scientist made the claim that Luna \n10’s achievements included “the first gamma-ray \nspectrometer used in the history of space research \nto first define the contents of natural radio nuclides \nin the lunar soil.', 'neutron spectrometer (NS)\n4.\t alpha particle spectrometer (APS)\n5.\t Doppler gravity experiment (using S-band \nantenna) (DGE)\nResults: Lunar Prospector was designed to collect \ndata to compile the first complete compositional \nand gravity maps of the Moon during its planned \none-year mission in lunar polar orbit.', 'imaging system\n2.\t gamma-ray spectrometer\n3.\t KS-17M radiation detectorA model of the Ye-6-type lunar lander (the ALS) shows its ingenuous “petal” design.']","
The gamma ray spectrometer on the lunar mission is used to map the Moon in radioactive elements (ura-nium, thorium, potassium) and those that emit gamma rays when hit by cosmic rays or particles in the solar wind (iron, titanium, oxygen, silicon, aluminum, magnesium, calcium). The purpose of this is to provide information about the composition of the Moon, its mineralogy, and the prevalence of ""KREEP"" which may represent some of the last remaining melt after the lunar crust was formed. This helps scientists understand how the Moon formed and the surface continued to change. The mission also emphasizes the detection of resources needed for future construction on the Moon."
